Category,Parameter,Value,Type
POD Decomposition,Spatial Modes (U) Shape,"(3, 3)",array
POD Decomposition,Singular Values (S) Shape,"(3,)",array
POD Decomposition,Modal Coefficients (Vh) Shape,"(3, 256)",array
POD Decomposition,Total Energy (sum S²),76.5,float
POD Decomposition,Max Singular Value,5.049752712249756,float
POD Decomposition,Min Singular Value,5.049752235412598,float
POD Decomposition,Mean Singular Value,5.049752712249756,float
POD Decomposition,Std Singular Value,2.7530205670700525e-07,float
POD Decomposition,Cumulative Energy (First 1 Mode(s)),33.33%,percentage
POD Decomposition,σ_1,5.049752712249756,float
POD Decomposition,Cumulative Energy (First 2 Mode(s)),66.67%,percentage
POD Decomposition,σ_2,5.049752712249756,float
POD Decomposition,Cumulative Energy (First 3 Mode(s)),100.00%,percentage
POD Decomposition,σ_3,5.049752235412598,float
POD Orthonormality,U^T U Orthonormality Error,5.290653282875602e-09,float
Mode Overlap,Learned Overlap Matrix Shape,"(256, 256)",array
Mode Overlap,Learned Orthonormality Error (Overlap),577.5469039139451,float
Mode Overlap,Diagonal Mean (should be ~1),0.01171875021464075,float
Mode Overlap,Diagonal Std,0.002986476266349861,float
Mode Overlap,Off-Diagonal Mean (should be ~0),0.0038389658328830496,float
Mode Overlap,Off-Diagonal Max Abs,0.020705368369817734,float
Cross Overlap,POD Modes vs Learned Wavefunctions Shape,"(3, 256)",array
Cross Overlap,Max Absolute Cross Overlap,0.02093908004462719,float
Cross Overlap,Mean Absolute Cross Overlap,0.010926776523911977,float
Cross Overlap,POD Mode 0 Best Alignment,ψ_learned[166] = -0.0185,str
Cross Overlap,POD Mode 1 Best Alignment,ψ_learned[100] = 0.0173,str
Cross Overlap,POD Mode 2 Best Alignment,ψ_learned[130] = 0.0209,str
Ground Truth Comparison,True vs Learned Overlap Shape,"(256, 256)",array
Ground Truth Comparison,Max True-Learned Overlap,0.022995131090283394,float
Ground Truth Comparison,Mean True-Learned Overlap,0.0044135679185518485,float
Ground Truth Comparison,ψ_true[0] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[1] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[2] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[3] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[4] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[5] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[6] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[7] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[8] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[9] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[10] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[11] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[12] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[13] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[14] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[15] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[16] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[17] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[18] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[19] Best Match,ψ_learned[130] = 0.0000,str
Ground Truth Comparison,ψ_true[20] Best Match,ψ_learned[130] = 0.0001,str
Ground Truth Comparison,ψ_true[21] Best Match,ψ_learned[130] = 0.0001,str
Ground Truth Comparison,ψ_true[22] Best Match,ψ_learned[130] = 0.0001,str
Ground Truth Comparison,ψ_true[23] Best Match,ψ_learned[130] = 0.0001,str
Ground Truth Comparison,ψ_true[24] Best Match,ψ_learned[130] = 0.0001,str
Ground Truth Comparison,ψ_true[25] Best Match,ψ_learned[130] = 0.0001,str
Ground Truth Comparison,ψ_true[26] Best Match,ψ_learned[130] = 0.0001,str
Ground Truth Comparison,ψ_true[27] Best Match,ψ_learned[130] = 0.0001,str
Ground Truth Comparison,ψ_true[28] Best Match,ψ_learned[130] = 0.0002,str
Ground Truth Comparison,ψ_true[29] Best Match,ψ_learned[130] = 0.0002,str
Ground Truth Comparison,ψ_true[30] Best Match,ψ_learned[130] = 0.0002,str
Ground Truth Comparison,ψ_true[31] Best Match,ψ_learned[130] = 0.0002,str
Ground Truth Comparison,ψ_true[32] Best Match,ψ_learned[130] = 0.0003,str
Ground Truth Comparison,ψ_true[33] Best Match,ψ_learned[130] = 0.0003,str
Ground Truth Comparison,ψ_true[34] Best Match,ψ_learned[130] = 0.0004,str
Ground Truth Comparison,ψ_true[35] Best Match,ψ_learned[130] = 0.0004,str
Ground Truth Comparison,ψ_true[36] Best Match,ψ_learned[130] = 0.0005,str
Ground Truth Comparison,ψ_true[37] Best Match,ψ_learned[130] = 0.0005,str
